x,y1,y2
0.0,17042.0,55.0
0.01,17077.0,64.0
0.02,17037.0,69.0
0.03,17111.0,50.0
0.04,17147.0,51.0
0.05,17059.0,61.0
0.06,17083.0,60.0
0.07,17103.0,49.0
0.08,17115.0,104.0
0.09,17173.0,72.0
0.1,17064.0,80.0
0.11,17112.0,67.0
0.12,17167.0,58.0
0.13,17204.0,60.0
0.14,17105.0,66.0
0.15,17087.0,52.0
0.16,17139.0,47.0
0.17,17215.0,52.0
0.18,17083.0,47.0
0.19,17140.0,50.0
0.2,17093.0,52.0
0.21,17117.0,48.0
0.22,17181.0,52.0
0.23,17095.0,60.0
0.24,17007.0,90.0
0.25,17098.0,38.0
0.26,17131.0,66.0
0.27,17118.0,69.0
0.28,17032.0,65.0
0.29,17047.0,39.0
0.3,17153.0,62.0
0.31,17135.0,55.0
0.32,17126.0,58.0
0.33,17116.0,56.0
0.34,17193.0,48.0
0.35,17227.0,43.0
0.36,17204.0,48.0
0.37,17206.0,74.0
0.38,17169.0,51.0
0.39,17252.0,53.0
0.4,17297.0,55.0
0.41,17222.0,66.0
0.42,17191.0,53.0
0.43,17198.0,47.0
0.44,17281.0,64.0
0.45,17284.0,45.0
0.46,17259.0,72.0
0.47,17226.0,57.0
0.48,17252.0,45.0
0.49,17339.0,72.0
0.5,17251.0,52.0
0.51,17210.0,87.0
0.52,17249.0,54.0
0.53,17283.0,50.0
0.54,17296.0,33.0
0.55,17212.0,72.0
0.56,17261.0,51.0
0.57,17371.0,52.0
0.58,17268.0,94.0
0.59,17289.0,37.0
0.6,17227.0,61.0
0.61,17276.0,66.0
0.62,17246.0,52.0
0.63,17258.0,44.0
0.64,17212.0,57.0
0.65,17279.0,44.0
0.66,17329.0,61.0
0.67,17270.0,43.0
0.68,17216.0,73.0
0.69,17214.0,63.0
0.7,17208.0,53.0
0.71,17330.0,45.0
0.72,17337.0,63.0
0.73,17252.0,49.0
0.74,17264.0,44.0
0.75,17278.0,51.0
0.76,17255.0,58.0
0.77,17299.0,51.0
0.78,17248.0,93.0
0.79,17263.0,73.0
0.8,17341.0,63.0
0.81,17306.0,43.0
0.82,17261.0,87.0
0.83,17284.0,47.0
0.84,17401.0,45.0
0.85,17372.0,65.0
0.86,17405.0,50.0
0.87,17304.0,76.0
0.88,17362.0,64.0
0.89,17448.0,50.0
0.9,17400.0,60.0
0.91,17346.0,71.0
0.92,17435.0,63.0
0.93,17502.0,74.0
0.94,17506.0,60.0
0.95,17489.0,45.0
0.96,17373.0,73.0
0.97,17399.0,92.0
0.98,17536.0,32.0
0.99,17414.0,46.0
1.0,17449.0,88.0
1.01,17402.0,75.0
1.02,17431.0,64.0
1.03,17404.0,63.0
1.04,17424.0,42.0
1.05,17393.0,84.0
1.06,17404.0,60.0
1.07,17499.0,62.0
1.08,17479.0,72.0
1.09,17386.0,62.0
1.1,17448.0,74.0
1.11,17463.0,49.0
1.12,17500.0,58.0
1.13,17485.0,76.0
1.14,17447.0,90.0
1.15,17400.0,38.0
1.16,17427.0,56.0
1.17,17522.0,25.0
1.18,17406.0,61.0
1.19,17325.0,67.0
1.2,17458.0,32.0
1.21,17459.0,30.0
1.22,17484.0,64.0
1.23,17436.0,47.0
1.24,17492.0,44.0
1.25,17417.0,55.0
1.26,17511.0,46.0
1.27,17460.0,42.0
1.28,17479.0,61.0
1.29,17486.0,46.0
1.3,17539.0,61.0
1.31,17449.0,45.0
1.32,17497.0,32.0
1.33,17484.0,81.0
1.34,17577.0,43.0
1.35,17635.0,70.0
1.36,17541.0,72.0
1.37,17472.0,75.0
1.38,17554.0,60.0
1.39,17591.0,34.0
1.4,17674.0,67.0
1.41,17528.0,42.0
1.42,17512.0,81.0
1.43,17717.0,56.0
1.44,17707.0,68.0
1.45,17615.0,71.0
1.46,17597.0,61.0
1.47,17666.0,64.0
1.48,17686.0,32.0
1.49,17724.0,64.0
1.5,17647.0,77.0
1.51,17675.0,77.0
1.52,17708.0,60.0
1.53,17708.0,57.0
1.54,17648.0,69.0
1.55,17605.0,64.0
1.56,17575.0,42.0
1.57,17614.0,41.0
1.58,17622.0,57.0
1.59,17522.0,55.0
1.6,17602.0,61.0
1.61,17666.0,59.0
1.62,17657.0,50.0
1.63,17622.0,62.0
1.64,17514.0,59.0
1.65,17539.0,34.0
1.66,17670.0,62.0
1.67,17612.0,38.0
1.68,17549.0,57.0
1.69,17506.0,55.0
1.7,17522.0,58.0
1.71,17708.0,47.0
1.72,17639.0,75.0
1.73,17596.0,51.0
1.74,17606.0,113.0
1.75,17719.0,59.0
1.76,17732.0,35.0
1.77,17644.0,64.0
1.78,17619.0,94.0
1.79,17746.0,54.0
1.8,17765.0,70.0
1.81,17814.0,87.0
1.82,17754.0,17.0
1.83,17775.0,24.0
1.84,17823.0,55.0
1.85,17792.0,64.0
1.86,17683.0,45.0
1.87,17633.0,50.0
1.88,17753.0,46.0
1.89,17825.0,40.0
1.9,17791.0,83.0
1.91,17713.0,70.0
1.92,17751.0,37.0
1.93,17858.0,54.0
1.94,17833.0,56.0
1.95,17838.0,48.0
1.96,17811.0,15.0
1.97,17850.0,44.0
1.98,17908.0,43.0
1.99,17868.0,25.0
2.0,17872.0,44.0
2.01,17862.0,57.0
2.02,17926.0,36.0
2.03,17977.0,48.0
2.04,17846.0,56.0
2.05,17829.0,59.0
2.06,17911.0,46.0
2.07,17947.0,32.0
2.08,17886.0,50.0
2.09,17793.0,62.0
2.1,17848.0,69.0
2.11,17887.0,46.0
2.12,17910.0,62.0
2.13,17889.0,29.0
2.14,17828.0,72.0
2.15,17871.0,50.0
2.16,17931.0,66.0
2.17,17876.0,56.0
2.18,17849.0,37.0
2.19,17865.0,76.0
2.2,17949.0,39.0
2.21,17906.0,50.0
2.22,17933.0,48.0
2.23,17895.0,53.0
2.24,17942.0,33.0
2.25,17892.0,61.0
2.26,17898.0,64.0
2.27,17937.0,15.0
2.28,17852.0,4.0
2.29,17976.0,19.0
2.3,17936.0,79.0
2.31,17912.0,74.0
2.32,17960.0,102.0
2.33,18040.0,149.0
2.34,18145.0,58.0
2.35,17882.0,47.0
2.36,18045.0,72.0
2.37,18003.0,29.0
2.38,18079.0,55.0
2.39,18136.0,41.0
2.4,18095.0,74.0
2.41,18095.0,60.0
2.42,18170.0,49.0
2.43,18219.0,62.0
2.44,18193.0,70.0
2.45,18069.0,42.0
2.46,18100.0,30.0
2.47,18161.0,33.0
2.48,18194.0,57.0
2.49,18184.0,42.0
2.5,18102.0,99.0
2.51,18099.0,34.0
2.52,18164.0,100.0
2.53,18231.0,24.0
2.54,18101.0,51.0
2.55,18145.0,35.0
2.56,18114.0,54.0
2.57,18246.0,214.0
2.58,18266.0,43.0
2.59,18367.0,34.0
2.6,18225.0,74.0
2.61,18272.0,-76.0
2.62,18249.0,47.0
2.63,18203.0,-28.0
2.64,18228.0,92.0
2.65,18213.0,124.0
2.66,18212.0,68.0
2.67,18208.0,12.0
2.68,18248.0,49.0
2.69,18210.0,97.0
2.7,18305.0,-8.0
2.71,18280.0,71.0
2.72,18269.0,-49.0
2.73,18383.0,73.0
2.74,18329.0,121.0
2.75,18391.0,68.0
2.76,18422.0,81.0
2.77,18211.0,-30.0
2.78,18327.0,70.0
2.79,18189.0,223.0
2.8,18392.0,67.0
2.81,18331.0,-7.0
2.82,18437.0,60.0
2.83,18396.0,44.0
2.84,18480.0,69.0
2.85,18448.0,52.0
2.86,18467.0,110.0
2.87,18409.0,58.0
2.88,18551.0,34.0
2.89,18579.0,47.0
2.9,18540.0,47.0
2.91,18553.0,66.0
2.92,18529.0,54.0
2.93,18571.0,58.0
2.94,18614.0,59.0
2.95,18621.0,80.0
2.96,18585.0,53.0
2.97,18655.0,31.0
2.98,18622.0,89.0
2.99,18521.0,82.0
3.0,18582.0,83.0
3.01,18541.0,54.0
3.02,18601.0,42.0
3.03,18596.0,56.0
3.04,18522.0,60.0
3.05,18583.0,55.0
3.06,18668.0,43.0
3.07,18698.0,82.0
3.08,18620.0,119.0
3.09,18665.0,67.0
3.1,18687.0,80.0
3.11,18685.0,45.0
3.12,18633.0,40.0
3.13,18570.0,67.0
3.14,18753.0,31.0
3.15,18754.0,31.0
3.16,18737.0,57.0
3.17,18636.0,63.0
3.18,18588.0,48.0
3.19,18683.0,34.0
3.2,18677.0,50.0
3.21,18735.0,18.0
3.22,18620.0,69.0
3.23,18683.0,37.0
3.24,18676.0,56.0
3.25,18749.0,44.0
3.26,18748.0,63.0
3.27,18775.0,72.0
3.28,18751.0,57.0
3.29,18849.0,56.0
3.3,18889.0,60.0
3.31,18768.0,56.0
3.32,18831.0,69.0
3.33,18900.0,26.0
3.34,18893.0,24.0
3.35,18893.0,75.0
3.36,18856.0,47.0
3.37,18813.0,70.0
3.38,18913.0,47.0
3.39,18917.0,66.0
3.4,18963.0,137.0
3.41,18906.0,50.0
3.42,19037.0,33.0
3.43,19046.0,72.0
3.44,19015.0,79.0
3.45,18980.0,49.0
3.46,19017.0,42.0
3.47,19091.0,51.0
3.48,19105.0,51.0
3.49,19114.0,63.0
3.5,19093.0,66.0
3.51,19136.0,84.0
3.52,19147.0,69.0
3.53,19158.0,75.0
3.54,19025.0,63.0
3.55,19053.0,14.0
3.56,19118.0,56.0
3.57,19123.0,60.0
3.58,19031.0,65.0
3.59,19029.0,75.0
3.6,19048.0,73.0
3.61,19189.0,59.0
3.62,19231.0,37.0
3.63,19148.0,52.0
3.64,19188.0,39.0
3.65,19262.0,75.0
3.66,19224.0,73.0
3.67,19225.0,68.0
3.68,19203.0,60.0
3.69,19238.0,53.0
3.7,19257.0,39.0
3.71,19196.0,67.0
3.72,19113.0,74.0
3.73,19081.0,49.0
3.74,19211.0,70.0
3.75,19265.0,74.0
3.76,19148.0,57.0
3.77,19136.0,78.0
3.78,19076.0,40.0
3.79,19291.0,27.0
3.8,19261.0,35.0
3.81,19241.0,43.0
3.82,19199.0,58.0
3.83,19353.0,80.0
3.84,19439.0,65.0
3.85,19379.0,64.0
3.86,19298.0,82.0
3.87,19337.0,64.0
3.88,19385.0,50.0
3.89,19474.0,64.0
3.9,19395.0,86.0
3.91,19363.0,45.0
3.92,19443.0,57.0
3.93,19458.0,76.0
3.94,19430.0,59.0
3.95,19438.0,64.0
